images,institutionCode,sex,preparations,eventDate,year,month,day,country,stateProvince,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificName,infraspecificEpithet
,ANWC,male,skin,18/12/1989,1989,12,18,Australia,Queensland,-17.2667,145.4833,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Male,Skin,29/12/1905,1905,12,29,Australia,South Australia,-35.15,138.6667,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,Male,,4/12/1976,1976,12,4,New Caledonia,,-21.983,166.666,EPSG:4326,"Accipiter haplochrous Sclater, 1817",Accipiter,
"[""fb9f3cda-c506-46dc-a7f7-c46ada2535af""]",NMV,,Egg | Dry,10/12/1910,1910,12,10,Australia,Queensland,-10.8,142.47,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,NMV,Unknown,Skin | Dry,6/12/1984,1984,12,6,Australia,Victoria,-37.65,145.37,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skin,22/12/1979,1979,12,22,Australia,,,,,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,,Spirit,9/12/1976,1976,12,9,Australia,Queensland,-28.1,144.35,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,,1903,12,,Australia,Tasmania,-42.75,147.28,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,SAMA,Unknown,Skin,15/03/1965,1965,3,15,Australia,South Australia,-35.3344,139.1169,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skeleton,21/03/2006,2006,3,21,Australia,South Australia,-32.1372,133.675,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,21/03/1915,1915,3,21,Australia,New South Wales,-31.97,141.45,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,1/03/1941,1941,3,,Australia,South Australia,-34.9183,138.5022,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,10/03/1967,1967,3,10,Australia,Tasmania,-41.5333,147,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,male,skin,22/03/1960,1960,3,22,Australia,Tasmania,-42.2,147.4,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry | dried,6/03/2007,2007,3,6,Australia,Victoria,-37.93,145,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QVMAG,,skin,,1986,3,,Australia,Tasmania,-41.45,147.19999,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Female,Skin | Dry,8/03/1960,1960,3,8,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Male,,13/03/1968,1968,3,13,Australia,New South Wales,-33.9,151.25,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,1880-03-17,1880,3,17,Australia,New South Wales,-33.4,143.93,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skin | Dry,,1891,3,,Australia,Western Australia,-17.48,125,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,QVMAG,,skin,27/03/1986,1986,3,27,Australia,Tasmania,-41.53332,147.46665,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Spirit preserved,1/03/1988,1988,3,1,Australia,South Australia,-34.15,138.6833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,not recorded,skin,12/03/1976,1976,3,12,Australia,New South Wales,-35.8167,149.6333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,QVMAG,,skin,29/03/1970,1970,3,29,Australia,Tasmania,-41.45,147.16666,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skin | Dry,12/03/1979,1979,3,12,Australia,Victoria,-38.75,143.67,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,QVMAG,,skin,30/03/1972,1972,3,30,Australia,Tasmania,-41.56665,147.25,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,1/03/1982,1982,3,1,Australia,Tasmania,-41.2,146.25,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,female,skin,11/03/1983,1983,3,11,Australia,Australian Capital Territory,-35.2833,149.2167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skeleton | Dry,17/03/2013,2013,3,17,Australia,Victoria,-38.004,144.412,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,QM,Female,Skin,28/03/1948,1948,3,28,Australia,Queensland,-27.566667,153.05,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,1/03/1934,1934,3,1,Australia,South Australia,-34.9833,138.7167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,5/03/1970,1970,3,5,Australia,Victoria,,,,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skeleton (part) | Dry,9/03/1951,1951,3,9,Australia,Victoria,-36.75,144.27,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,NMV,Unknown,Skeleton | Dry,6/03/1983,1983,3,6,Australia,Victoria,-38.4,144.18,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,AM,,,31/03/2014,2014,3,,Australia,New South Wales,-35.5,150.4,EPSG:4326,"Accipiter novaehollandiae (Gmelin, 1788)",Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,4/03/1970,1970,3,4,Australia,New South Wales,-33.8333,151.25,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,not recorded,body in spirit,18/03/1997,1997,3,18,Australia,New South Wales,-34.8167,150.6167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,9/03/1951,1951,3,9,Australia,Victoria,-36.75,144.27,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,female,skin,20/03/1996,1996,3,20,Australia,Queensland,-24.1167,143.1833,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skeleton complete,5/03/1974,1974,3,5,Australia,New South Wales,-34.2833,146.0333,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,14/03/2005,2005,3,14,Australia,New South Wales,-34.78,150.6997,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skin,30/03/1961,1961,3,30,Australia,South Australia,-34.45,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,,Nest,10/03/1981,1981,3,10,Australia,Queensland,-27.4,152.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,,2001,3,,Australia,Victoria,-38.47,145.93,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,,1993,3,,Australia,Victoria,-37.87,144.77,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skin | Dry,,1891,3,,Australia,Western Australia,-17.48,125,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,AM,,,31/03/2014,2014,3,,Australia,New South Wales,-35.5,150.4,EPSG:4326,"Accipiter novaehollandiae (Gmelin, 1788)",Accipiter (Leucospiza) novaehollandiae,
,QM,Female,Skin,29/03/1938,1938,3,29,Australia,Queensland,-20.533333,145.4,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,male,skin,9/03/1960,1960,3,9,Australia,Tasmania,-42.2,147.4,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,31/03/1991,1991,3,31,Australia,Tasmania,-41.45,147.16666,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,,"Skin, Wing(s)",1/03/1980,1980,3,,Australia,South Australia,-34.9,135.7833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,30/03/1981,1981,3,30,Australia,South Australia,-33.5833,138.3333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,7/03/1928,1928,3,7,Australia,South Australia,-34.7167,138.7667,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,probably female,skin,16/03/2001,2001,3,16,Australia,New South Wales,-34.4806,148.5542,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skeleton | Dry,4/03/1985,1985,3,4,Australia,Victoria,-38.47,145.23,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,30/03/1948,1948,3,30,Australia,Victoria,-37.65,145.52,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,11/03/1966,1966,3,11,Papua New Guinea,,,,,Accipiter poliocephalus,Accipiter,
,AM,Female,,13/03/1968,1968,3,13,Australia,New South Wales,-33.9,151.25,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,9/03/1982,1982,3,9,Australia,Australian Capital Territory,-35.375,149.0833,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,17/03/1949,1949,3,17,Australia,South Australia,-34.9333,138.6333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,,,1992,3,,Australia,Tasmania,,,,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,female,skin,8/03/1966,1966,3,8,Papua New Guinea,,-7.8083,146.1375,EPSG:4326,Accipiter hiogaster leucosomus,Accipiter (Leucospiza) hiogaster,leucosomus
,QM,Female,Skin,24/03/1965,1965,3,24,Australia,Queensland,-28.233333,152.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,,Spirit preserved,1/03/1987,1987,3,,Australia,South Australia,-34.7167,138.6833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,1957,3,,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,24/03/2012,2012,3,24,Australia,Victoria,-37.731,144.975,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,1/03/1980,1980,3,,Australia,South Australia,-34.9,135.7833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,10/03/1965,1965,3,10,Australia,Tasmania,-41.56665,147.25,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,13/03/1965,1965,3,13,Australia,South Australia,-34.45,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,26/03/1977,1977,3,26,Australia,South Australia,-37.5667,140.1167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,mount,8/03/1948,1948,3,8,Australia,Tasmania,-41.45,145.53333,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Male,Skin | Dry,14/03/1954,1954,3,14,Australia,Victoria,-35.57,143.72,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,male,skin,6/03/1981,1981,3,6,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,15/03/1950,1950,3,15,Australia,South Australia,-34.9333,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,,1957,3,,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Male,Skin,1/03/1920,1920,3,1,Australia,South Australia,-34.95,138.65,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,19/03/1968,1968,3,19,Australia,Tasmania,-41.6,146.41666,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skin,1/03/1946,1946,3,,Australia,South Australia,-37.55,140.2333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,,Spirit,19/03/1975,1975,3,19,Australia,Queensland,-27.433333,151.716667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skin | Dry,,1868,3,,Australia,Victoria,-37.7,145.93,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,SAMA,Male,Skin,1899-03-29,1899,3,29,Australia,South Australia,-34.9167,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,8/03/1993,1993,3,8,Australia,Tasmania,-42.6667,147.4167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,16/03/1933,1933,3,16,Australia,South Australia,-34.9111,138.6,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,29/03/1988,1988,3,29,Australia,Victoria,-37.7,145.1,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,13/03/1961,1961,3,13,Australia,South Australia,-34.45,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,25/03/1924,1924,3,25,Australia,Victoria,-37.78,144.95,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,,Skin,1/03/1941,1941,3,,Australia,South Australia,-34.9183,138.5022,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Male,Skin,14/03/1970,1970,3,14,Australia,Queensland,-28.166667,152.066667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Male,Skin,5/03/1933,1933,3,5,Australia,New South Wales,-31.97,141.47,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,1/03/1980,1980,3,,Australia,South Australia,-34.9,135.7833,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skeleton | Dry,9/03/1977,1977,3,9,Australia,Victoria,-37.78,145.02,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skeleton,7/04/2005,2005,4,7,Australia,South Australia,-35.1833,138.9167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,AM,,,14/04/2017,2017,4,14,Australia,New South Wales,-33.917,151.23538,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,6/04/2005,2005,4,6,Australia,New South Wales,-34.4833,150.8,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Male,Mounted skin,21/04/1964,1964,4,21,Australia,South Australia,-35,138.6333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,28/04/1966,1966,4,28,Papua New Guinea,,-7.3333,146.45,EPSG:4326,Accipiter poliocephalus,Accipiter,
,QM,Female,Skin,27/04/1972,1972,4,27,Australia,Queensland,-28.1,153.433333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Male,Skin | Dry,28/04/1904,1904,4,28,Australia,Victoria,-38.53,143.53,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,ANWC,male,skin,30/04/1979,1979,4,30,Australia,Western Australia,-15.65,128.7,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QM,Female,Skin,1/04/1962,1962,4,1,Australia,Queensland,-27.466667,153.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,ANWC,female,skeleton; skin,7/04/2009,2009,4,7,Papua New Guinea,,-5.6142,151.4081,EPSG:4326,Accipiter luteoschistaseus,Accipiter,
,QM,Male,Skin,3/04/1968,1968,4,3,Australia,Queensland,-27.45,153.133333,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,1/04/1932,1932,4,1,Australia,Queensland,-28.23,152.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,2/04/1948,1948,4,2,Australia,South Australia,-34.1667,139.2333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Unknown,Skeleton | Dry,18/04/1974,1974,4,18,Australia,Victoria,-37.57,149.15,EPSG:4326,Accipiter novaehollandiae novaehollandiae,Accipiter (Leucospiza) novaehollandiae,novaehollandiae
,SAMA,Female,Skin,29/04/1963,1963,4,29,Australia,South Australia,-34.45,138.5167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Female,Skin | Dry,10/04/1910,1910,4,10,Australia,Western Australia,-14,126.07,EPSG:4326,Accipiter fasciatus didimus,Accipiter (Leucospiza) fasciatus didimus,didimus
,QVMAG,,skin,22/04/1991,1991,4,22,Australia,Tasmania,-41.16666,147.5,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skeleton,20/04/1952,1952,4,20,,,,,,"Accipiter novaehollandiae (JF Gmelin, 1788)",Accipiter (Leucospiza) novaehollandiae,
,QM,Female,Wing(s),7/04/1998,1998,4,7,Australia,Queensland,-26.515209,152.817457,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Female,Skin,8/04/1910,1910,4,8,Australia,Queensland,-20.05,140.98,EPSG:4326,Erythrotriorchis radiatus,Erythrotriorchis radiatus,
,NMV,Female,Skin | Dry,1862-04-05,1862,4,5,Sweden,,,,,Accipiter gentilis gentilis,Accipiter,gentilis
,WAM,Male,Skin,17/04/1976,1976,4,17,Australia,Queensland,-17.383333,144.266667,EPSG:4326,,Erythrotriorchis radiatus,
,SAMA,Female,Skin,14/04/1987,1987,4,14,Australia,South Australia,-33.0339,137.5681,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QVMAG,,mount,12/04/2012,2012,4,12,Australia,Tasmania,-41.53332,146.65,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,QVMAG,,skin,20/04/1969,1969,4,20,Australia,Tasmania,-41.51666,147.19999,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,20/04/1991,1991,4,20,Australia,Tasmania,-41.1833,146.4833,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,NMV,Unknown,Skin | Dry,23/04/1965,1965,4,23,Australia,New South Wales,-35.6,144.15,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Female,Skin,11/04/1902,1902,4,11,Australia,South Australia,-34.91833333,138.5022222,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,2/04/1970,1970,4,2,Australia,Western Australia,-32,115.8167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,30/04/1935,1935,4,30,,,,,,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,16/04/1969,1969,4,16,Australia,Victoria,-37.82,145.18,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,,Spirit,22/04/1980,1980,4,22,Australia,Queensland,-19.633333,145.7,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,Female,Skin,27/04/1959,1959,4,27,Australia,Queensland,-27.383333,153.016667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,SAMA,Male,Spirit preserved,7/04/1983,1983,4,7,Australia,South Australia,-35.2667,138.9,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,Male,Skin | Dry,14/04/1934,1934,4,14,Australia,Queensland,-27.55,151.72,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Female,Skin | Dry,6/04/1932,1932,4,6,Australia,Queensland,-28.23,152.25,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,QM,,Skin,7/04/1995,1995,4,7,Australia,Queensland,-27.266667,152.05,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Unknown,skeleton,10/04/2012,2012,4,10,Australia,South Australia,-31.4961,129.1506,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,NMV,,Egg | Dry,18/04/1906,1906,4,18,Canada,,49.28,-98.57,EPSG:4326,Accipiter gentilis atricapillus,Accipiter,atricapillus
,NMV,Female,Skin | Dry,13/04/1954,1954,4,13,Australia,Victoria,-37.6,141.7,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,AM,Female,,7/04/1970,1970,4,7,Australia,New South Wales,-33.733,151,EPSG:4326,"Accipiter fasciatus fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus fasciatus,
,SAMA,Female,Skin,8/04/1913,1913,4,8,Australia,Western Australia,-17.3167,123.6333,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
,QM,Female,Skin,18/04/1957,1957,4,18,Australia,Queensland,-27.466667,153.066667,EPSG:4326,Accipiter fasciatus fasciatus,Accipiter (Leucospiza) fasciatus fasciatus,fasciatus
,NMV,Unknown,Skeleton | Dry,11/04/2015,2015,4,11,Australia,Victoria,-38.3431,142.695,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,not recorded,wing,8/04/1994,1994,4,8,Australia,Queensland,-17.353,145.5939,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,SAMA,Female,Skin,12/04/1916,1916,4,12,Australia,New South Wales,-31.97,141.45,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
"[""92fa1675-d63e-4d28-8a65-14b0fc4af381""]",NMV,,Egg | Dry,18/04/1911,1911,4,18,Australia,Northern Territory,-12.32,133.05,EPSG:4326,Accipiter,Accipiter,
,NMV,Unknown,Skin | Dry,21/04/2014,2014,4,21,Australia,Victoria,-38.3049,144.322,EPSG:4326,Accipiter novaehollandiae,Accipiter (Leucospiza) novaehollandiae,
,ANWC,female,skin,9/04/1966,1966,4,9,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,male,skin,6/04/1991,1991,4,6,Australia,Tasmania,-42.8833,147.3167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,not recorded,skin,5/04/1972,1972,4,5,Australia,Western Australia,-31.95,116.1,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,9/04/1984,1984,4,9,Australia,Australian Capital Territory,-35.2222,149.1264,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,25/04/1971,1971,4,25,Australia,Victoria,-37.4333,145.4167,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,ANWC,female,skin,15/04/2020,2020,4,15,Australia,Australian Capital Territory,-35.3116,148.8865,EPSG:4326,Accipiter fasciatus,Accipiter (Leucospiza) fasciatus,
,SAMA,Male,Skin,1/04/1967,1967,4,,Australia,South Australia,-34.15,138.4167,EPSG:4326,"Accipiter fasciatus (Vigors & Horsfield, 1827)",Accipiter (Leucospiza) fasciatus,
